Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.03120000,      9.74401642,      0.64144529,      0.09744016,      0.54400512,      0.94945856,     15.39468687,
      0.03140000,      9.85299293,      0.64428559,      0.09852993,      0.54575566,      0.97081470,     15.46285419,
      0.03160000,      9.96231701,      0.64710407,      0.09962317,      0.54748090,      0.99247760,     15.53049758,
      0.03180000,     10.07198360,      0.64990064,      0.10071984,      0.54918081,      1.01444854,     15.59761540,
      0.03200000,     10.18198764,      0.65267525,      0.10181988,      0.55085537,      1.03672872,     15.66420600,
      0.03220000,     10.29232405,      0.65542782,      0.10292324,      0.55250458,      1.05931934,     15.73026778,
      0.03240000,     10.40298777,      0.65815830,      0.10402988,      0.55412842,      1.08222155,     15.79579916,
      0.03260000,     10.51397372,      0.66086661,      0.10513974,      0.55572687,      1.10543643,     15.86079858,
      0.03280000,     10.62527682,      0.66355269,      0.10625277,      0.55729992,      1.12896507,     15.92526451,
      0.03300000,     10.73689199,      0.66621648,      0.10736892,      0.55884756,      1.15280850,     15.98919543,
      0.03320000,     10.84881414,      0.66885791,      0.10848814,      0.56036977,      1.17696768,     16.05258985,
      0.03340000,     10.96103820,      0.67147693,      0.10961038,      0.56186655,      1.20144358,     16.11544633,
      0.03360000,     11.07355908,      0.67407348,      0.11073559,      0.56333788,      1.22623711,     16.17776341,
      0.03380000,     11.18637167,      0.67664749,      0.11186372,      0.56478377,      1.25134911,     16.23953970,
      0.03400000,     11.29947090,      0.67919891,      0.11299471,      0.56620420,      1.27678043,     16.30077379,
      0.03420000,     11.41285166,      0.68172768,      0.11412852,      0.56759916,      1.30253183,     16.36146433,
      0.03440000,     11.52650887,      0.68423375,      0.11526509,      0.56896866,      1.32860407,     16.42160997,
      0.03460000,     11.64043742,      0.68671706,      0.11640437,      0.57031268,      1.35499783,     16.48120941,
      0.03480000,     11.75463223,      0.68917756,      0.11754632,      0.57163123,      1.38171379,     16.54026134,
      0.03500000,     11.86908821,      0.69161519,      0.11869088,      0.57292431,      1.40875255,     16.59876452,
      0.03520000,     11.98380025,      0.69402990,      0.11983800,      0.57419190,      1.43611468,     16.65671769,
      0.03540000,     12.09876326,      0.69642165,      0.12098763,      0.57543402,      1.46380072,     16.71411963,
      0.03560000,     12.21397215,      0.69879038,      0.12213972,      0.57665066,      1.49181116,     16.77096916,
      0.03580000,     12.32942183,      0.70113605,      0.12329422,      0.57784183,      1.52014643,     16.82726511,
      0.03600000,     12.44510719,      0.70345860,      0.12445107,      0.57900753,      1.54880693,     16.88300634,
      0.03620000,     12.56102315,      0.70575799,      0.12561023,      0.58014776,      1.57779303,     16.93819172,
      0.03640000,     12.67716461,      0.70803417,      0.12677165,      0.58126253,      1.60710503,     16.99282015,
      0.03660000,     12.79352648,      0.71028711,      0.12793526,      0.58235184,      1.63674320,     17.04689058,
      0.03680000,     12.91010366,      0.71251675,      0.12910104,      0.58341571,      1.66670776,     17.10040196,
      0.03700000,     13.02689107,      0.71472305,      0.13026891,      0.58445414,      1.69699891,     17.15335325,
      0.03720000,     13.14388362,      0.71690598,      0.13143884,      0.58546714,      1.72761676,     17.20574347,
      0.03740000,     13.26107622,      0.71906549,      0.13261076,      0.58645472,      1.75856143,     17.25757165,
      0.03760000,     13.37846380,      0.72120153,      0.13378464,      0.58741690,      1.78983294,     17.30883683,
      0.03780000,     13.49604127,      0.72331409,      0.13496041,      0.58835367,      1.82143130,     17.35953809,
      0.03800000,     13.61380357,      0.72540311,      0.13613804,      0.58926507,      1.85335648,     17.40967454,
      0.03820000,     13.73174561,      0.72746855,      0.13731746,      0.59015110,      1.88560837,     17.45924529,
      0.03840000,     13.84986231,      0.72951040,      0.13849862,      0.59101177,      1.91818686,     17.50824950,
      0.03860000,     13.96814863,      0.73152860,      0.13968149,      0.59184711,      1.95109176,     17.55668634,
      0.03880000,     14.08659948,      0.73352313,      0.14086599,      0.59265713,      1.98432285,     17.60455501,
      0.03900000,     14.20520981,      0.73549395,      0.14205210,      0.59344185,      2.01787986,     17.65185473,
      0.03920000,     14.32397455,      0.73744103,      0.14323975,      0.59420129,      2.05176247,     17.69858475,
      0.03940000,     14.44288865,      0.73936435,      0.14442889,      0.59493546,      2.08597033,     17.74474433,
      0.03960000,     14.56194706,      0.74126387,      0.14561947,      0.59564440,      2.12050302,     17.79033279,
      0.03980000,     14.68114473,      0.74313956,      0.14681145,      0.59632811,      2.15536010,     17.83534942,
      0.04000000,     14.80047661,      0.74499140,      0.14800477,      0.59698663,      2.19054108,     17.87979358,
      0.04020000,     14.91993769,      0.74681936,      0.14919938,      0.59761998,      2.22604541,     17.92366464,
      0.04040000,     15.03952292,      0.74862342,      0.15039523,      0.59822819,      2.26187250,     17.96696198,
      0.04060000,     15.15922728,      0.75040354,      0.15159227,      0.59881127,      2.29802172,     18.00968503,
      0.04080000,     15.27904575,      0.75215972,      0.15279046,      0.59936926,      2.33449239,     18.05183322,
      0.04100000,     15.39897331,      0.75389192,      0.15398973,      0.59990218,      2.37128379,     18.09340601,
      0.04120000,     15.51900495,      0.75560012,      0.15519005,      0.60041007,      2.40839515,     18.13440291,
      0.04140000,     15.63913567,      0.75728431,      0.15639136,      0.60089295,      2.44582565,     18.17482341,
      0.04160000,     15.75936048,      0.75894446,      0.15759360,      0.60135086,      2.48357443,     18.21466705,
      0.04180000,     15.87967437,      0.76058056,      0.15879674,      0.60178381,      2.52164058,     18.25393340,
      0.04200000,     16.00007236,      0.76219259,      0.16000072,      0.60219186,      2.56002316,     18.29262204,
      0.04220000,     16.12054947,      0.76378052,      0.16120549,      0.60257503,      2.59872115,     18.33073258,
      0.04240000,     16.24110072,      0.76534436,      0.16241101,      0.60293335,      2.63773353,     18.36826465,
      0.04260000,     16.36172115,      0.76688408,      0.16361721,      0.60326687,      2.67705919,     18.40521790,
      0.04280000,     16.48240581,      0.76839967,      0.16482406,      0.60357561,      2.71669701,     18.44159202,
      0.04300000,     16.60314973,      0.76989111,      0.16603150,      0.60385962,      2.75664581,     18.47738671,
      0.04320000,     16.72394799,      0.77135840,      0.16723948,      0.60411892,      2.79690436,     18.51260170,
      0.04340000,     16.84479565,      0.77280153,      0.16844796,      0.60435357,      2.83747140,     18.54723673,
      0.04360000,     16.96568777,      0.77422048,      0.16965688,      0.60456361,      2.87834561,     18.58129159,
      0.04380000,     17.08661944,      0.77561525,      0.17086619,      0.60474906,      2.91952564,     18.61476607,
      0.04400000,     17.20758576,      0.77698583,      0.17207586,      0.60490998,      2.96101008,     18.64765999,
      0.04420000,     17.32858181,      0.77833222,      0.17328582,      0.60504640,      3.00279747,     18.67997320,
      0.04440000,     17.44960270,      0.77965440,      0.17449603,      0.60515837,      3.04488634,     18.71170556,
      0.04460000,     17.57064355,      0.78095237,      0.17570644,      0.60524594,      3.08727515,     18.74285698,
      0.04480000,     17.69169947,      0.78222614,      0.17691699,      0.60530915,      3.12996230,     18.77342736,
      0.04500000,     17.81276560,      0.78347569,      0.17812766,      0.60534804,      3.17294618,     18.80341664,
      0.04520000,     17.93383707,      0.78470103,      0.17933837,      0.60536266,      3.21622512,     18.83282480,
      0.04540000,     18.05490904,      0.78590216,      0.18054909,      0.60535307,      3.25979741,     18.86165181,
      0.04560000,     18.17597668,      0.78707907,      0.18175977,      0.60531930,      3.30366128,     18.88989768,
      0.04580000,     18.29703515,      0.78823177,      0.18297035,      0.60526142,      3.34781495,     18.91756245,
      0.04600000,     18.41807963,      0.78936026,      0.18418080,      0.60517946,      3.39225657,     18.94464617,
      0.04620000,     18.53910531,      0.79046454,      0.18539105,      0.60507348,      3.43698426,     18.97114891,
