        2-nd order single ODE 
     Method: Runge-Kutta 4th order
    t       x(t)        v(t)        energy
   4.96000  -6.42973  -0.95322  21.12500
   4.97000  -6.43894  -0.88888  21.12500
   4.98000  -6.44750  -0.82444  21.12500
   4.99000  -6.45542  -0.75993  21.12500
   5.00000  -6.46270  -0.69534  21.12500
   5.01000  -6.46933  -0.63068  21.12500
   5.02000  -6.47531  -0.56595  21.12500
   5.03000  -6.48065  -0.50117  21.12500
   5.04000  -6.48534  -0.43634  21.12500
   5.05000  -6.48938  -0.37147  21.12500
   5.06000  -6.49277  -0.30656  21.12500
   5.07000  -6.49551  -0.24162  21.12500
   5.08000  -6.49760  -0.17665  21.12500
   5.09000  -6.49904  -0.11167  21.12500
   5.10000  -6.49983  -0.04667  21.12500
   5.11000  -6.49997   0.01833  21.12500
   5.12000  -6.49947   0.08333  21.12500
   5.13000  -6.49831   0.14832  21.12500
   5.14000  -6.49650   0.21329  21.12500
   5.15000  -6.49404   0.27824  21.12500
   5.16000  -6.49093   0.34317  21.12500
   5.17000  -6.48718   0.40806  21.12500
   5.18000  -6.48277   0.47291  21.12500
   5.19000  -6.47772   0.53771  21.12500
   5.20000  -6.47202   0.60246  21.12500
   5.21000  -6.46567   0.66715  21.12500
   5.22000  -6.45868   0.73177  21.12500
   5.23000  -6.45104   0.79632  21.12500
   5.24000  -6.44275   0.86079  21.12500
   5.25000  -6.43382   0.92518  21.12500
   5.26000  -6.42425   0.98947  21.12500
   5.27000  -6.41403   1.05366  21.12500
   5.28000  -6.40317   1.11775  21.12500
   5.29000  -6.39168   1.18172  21.12500
   5.30000  -6.37954   1.24558  21.12500
   5.31000  -6.36677   1.30931  21.12500
   5.32000  -6.35335   1.37291  21.12500
   5.33000  -6.33931   1.43637  21.12500
   5.34000  -6.32463   1.49969  21.12500
   5.35000  -6.30931   1.56286  21.12500
   5.36000  -6.29337   1.62588  21.12500
   5.37000  -6.27680   1.68873  21.12500
   5.38000  -6.25960   1.75141  21.12500
   5.39000  -6.24177   1.81392  21.12500
   5.40000  -6.22332   1.87625  21.12500
   5.41000  -6.20425   1.93838  21.12500
   5.42000  -6.18455   2.00033  21.12500
   5.43000  -6.16424   2.06207  21.12500
   5.44000  -6.14331   2.12361  21.12500
   5.45000  -6.12177   2.18494  21.12500
   5.46000  -6.09961   2.24604  21.12500
   5.47000  -6.07685   2.30693  21.12500
   5.48000  -6.05348   2.36758  21.12500
   5.49000  -6.02950   2.42799  21.12500
   5.50000  -6.00492   2.48817  21.12500
   5.51000  -5.97974   2.54809  21.12500
   5.52000  -5.95396   2.60776  21.12500
   5.53000  -5.92758   2.66717  21.12500
   5.54000  -5.90061   2.72631  21.12500
   5.55000  -5.87306   2.78518  21.12500
   5.56000  -5.84491   2.84377  21.12500
   5.57000  -5.81618   2.90207  21.12500
   5.58000  -5.78687   2.96009  21.12500
   5.59000  -5.75698   3.01781  21.12500
   5.60000  -5.72651   3.07523  21.12500
   5.61000  -5.69548   3.13234  21.12500
   5.62000  -5.66387   3.18914  21.12500
   5.63000  -5.63170   3.24561  21.12500
   5.64000  -5.59896   3.30177  21.12500
   5.65000  -5.56566   3.35759  21.12500
   5.66000  -5.53181   3.41308  21.12500
   5.67000  -5.49740   3.46823  21.12500
   5.68000  -5.46244   3.52303  21.12500
   5.69000  -5.42694   3.57747  21.12500
   5.70000  -5.39090   3.63156  21.12500
   5.71000  -5.35431   3.68529  21.12500
   5.72000  -5.31719   3.73865  21.12500
   5.73000  -5.27954   3.79163  21.12500
   5.74000  -5.24136   3.84424  21.12500
   5.75000  -5.20266   3.89646  21.12500
   5.76000  -5.16343   3.94829  21.12500
   5.77000  -5.12369   3.99972  21.12500
   5.78000  -5.08344   4.05076  21.12500
   5.79000  -5.04268   4.10139  21.12500
   5.80000  -5.00141   4.15161  21.12500
   5.81000  -4.95965   4.20142  21.12500
   5.82000  -4.91739   4.25080  21.12500
   5.83000  -4.87463   4.29976  21.12500
   5.84000  -4.83139   4.34829  21.12500
   5.85000  -4.78767   4.39639  21.12500
   5.86000  -4.74347   4.44405  21.12500
   5.87000  -4.69879   4.49126  21.12500
   5.88000  -4.65364   4.53802  21.12500
   5.89000  -4.60803   4.58433  21.12500
   5.90000  -4.56196   4.63018  21.12500
   5.91000  -4.51543   4.67557  21.12500
   5.92000  -4.46845   4.72049  21.12500
   5.93000  -4.42102   4.76493  21.12500
   5.94000  -4.37315   4.80890  21.12500
   5.95000  -4.32484   4.85239  21.12500
   5.96000  -4.27610   4.89540  21.12500
   5.97000  -4.22694   4.93792  21.12500
   5.98000  -4.17735   4.97994  21.12500
   5.99000  -4.12734   5.02146  21.12500
   6.00000  -4.07692   5.06248  21.12500
   6.01000  -4.02609   5.10300  21.12500
   6.02000  -3.97486   5.14300  21.12500
   6.03000  -3.92323   5.18249  21.12500
   6.04000  -3.87121   5.22147  21.12500
   6.05000  -3.81881   5.25992  21.12500
   6.06000  -3.76602   5.29784  21.12500
   6.07000  -3.71285   5.33524  21.12500
   6.08000  -3.65931   5.37210  21.12500
   6.09000  -3.60541   5.40842  21.12500
   6.10000  -3.55115   5.44420  21.12500
   6.11000  -3.49653   5.47944  21.12500
   6.12000  -3.44156   5.51413  21.12500
   6.13000  -3.38625   5.54827  21.12500
   6.14000  -3.33060   5.58186  21.12500
   6.15000  -3.27461   5.61488  21.12500
   6.16000  -3.21830   5.64735  21.12500
   6.17000  -3.16167   5.67925  21.12500
   6.18000  -3.10472   5.71058  21.12500
   6.19000  -3.04746   5.74134  21.12500
   6.20000  -2.98989   5.77153  21.12500
   6.21000  -2.93203   5.80114  21.12500
   6.22000  -2.87387   5.83017  21.12500
   6.23000  -2.81543   5.85861  21.12500
